언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
영어권,천안시 서북구,충청남도,Galleria Department Store - Center City Branch (갤러리아 백화점 (센터시티점)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=640539,쇼핑,쇼핑,백화점,88
영어권,천안시 서북구,충청남도,Momiji (모미지),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=941836,음식,음식점,일식,54
영어권,천안시 서북구,충청남도,National Mang-Hyang Cemetery (국립 망향의 동산),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1352602,인문(문화/예술/역사),역사관광지,유적지/사적지,50
영어권,천안시 서북구,충청남도,Girin the Maeun Galbijjim (기린더매운갈비찜),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2670247,음식,음식점,한식,7
영어권,천안시 서북구,충청남도,BBANGARTGAN (빵아트간),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2670301,음식,음식점,카페/전통찻집,5
영어권,천안시 서북구,충청남도,Sani Naerin Bapsang Gondeure Bapjip (산이내린밥상곤드레밥집),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2670227,음식,음식점,한식,5
영어권,천안시 서북구,충청남도,Cafe Sisters (카페시스터즈),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2670235,음식,음식점,카페/전통찻집,3
영어권,천안시 서북구,충청남도,ON City Hotel [Korea Quality] / 오엔시티호텔 [한국관광 품질인증],https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2596590,숙박,숙박시설,모텔,3
영어권,천안시 서북구,충청남도,Vuehotel[Korea Quality] / 뷰호텔스탠다드[한국관광 품질인증/Korea Quality],https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2652167,숙박,숙박시설,관광호텔,2
