업종명,기준년도,상위업종명,영업현황수
전체,2024,전체,1473
전체,2024,여행업,612
국내외여행업,2024,여행업,305
국내여행업,2024,여행업,220
종합여행업,2024,여행업,87
전체,2024,관광객 이용시설업,408
일반야영장업,2024,관광객 이용시설업,307
자동차야영장업,2024,관광객 이용시설업,66
외국인관광도시민박업,2024,관광객 이용시설업,17
전문휴양업,2024,관광객 이용시설업,12
종합휴양업,2024,관광객 이용시설업,4
관광유람선업,2024,관광객 이용시설업,2
전체,2024,관광편의 시설업,217
관광펜션업,2024,관광편의 시설업,118
한옥체험업,2024,관광편의 시설업,81
관광극장유흥업,2024,관광편의 시설업,8
외국인전용유흥음식점업,2024,관광편의 시설업,5
시내순환관광업,2024,관광편의 시설업,3
관광식당,2024,관광편의 시설업,1
관광유흥음식점업,2024,관광편의 시설업,1
전체,2024,유원시설업,195
유원시설업(기타),2024,유원시설업,163
일반유원시설업,2024,유원시설업,28
종합유원시설업,2024,유원시설업,4
전체,2024,관광숙박업,41
관광호텔업,2024,관광숙박업,16
휴양콘도미니엄업,2024,관광숙박업,14
호스텔업,2024,관광숙박업,6
가족호텔업,2024,관광숙박업,4
소형호텔업,2024,관광숙박업,1
