관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
사계고택,관광지,충청남도 계룡시 두마면 사계로 122-4,충청남도 계룡시 두마면 두계리 96,36.265691,127.271724,9236,관리사무소+화장실(1동)+주차장,,,,,,2013-11-11,150,10,조선중기 유학의 대가 사계김장생 선생의고택,042-840-2402,충청남도 계룡시,2019-06-24
모원재,관광지,충청남도 계룡시 두마면 왕대2길6-10,충청남도 계룡시 두마면 왕대리 281-1,36.254886,127.27327528,16366,화장실(1동)+주차장,,,,,,1989-04-20,300,35,사계 김장생 선생의 5대 선친인 김국광의 재실,042-840-2402,충청남도 계룡시,2019-06-24
염선재,관광지,충청남도 계룡시 사계로 5-16(금암동),충청남도 계룡시 금암동 45,36.2693923,127.261851,86,주차장,,,,,,1990-09-27,10,2,사계 김장생 선생의 계배 순천김씨의 재실,042-840-2402,충청남도 계룡시,2019-06-24
이심원충신정려현판,관광지,충청남도 계룡시 금암1 길 7(금암동),충청남도 계룡시 금암동 281-4,36.280034,127.24707732,34,주차장,,,,,,1995-03-06,5,2,효령대군의 증손인 이심원선생의 충직함을 기리기 위한 현판,042-840-2402,충청남도 계룡시,2019-06-24
신원재,관광지,충청남도 계룡시 두마면 왕대2길43,충청남도 계룡시 두마면 왕대리 299,36.255245,127.270342,1263,주차장,,,,,,2002-01-10,30,5,사계 김장생 선생의 9번째 아들인 김비 선생의 재실,042-840-2402,충청남도 계룡시,2019-06-24
마곡사관광지,관광지,,충청남도 공주시 사곡면 운암리 731-2,36.55617136,127.0205918,125861,화장실+주차장,"펜션, 민박",백범명상길,탬플스테이,음식점,,1994-03-30,5000,100,천년고찰 마곡사 관광지,1899-0088,공주시,2022-11-23
공주문화관광지,관광지,,충청남도 공주시 웅진동 431,36.47022166,127.1117007,1029179,화장실+주차장+관리사무소+관광안내소,한옥마을,공산성,"고마센터, 국립박물관",음식점,,2007-09-27,5000,100,백제역사 유적관광지,1899-0088,공주시,2022-11-23
삽교호관광지,관광지,충청남도 당진시 신평면 삽교천3길 100,,36.88890544,126.8247541,240154,공중화장실+테마과학관+근린공원,,,,,,1983-10-10,500000,728,"서해대교를 비롯, 호수와 바다가 한눈에 들어오는 곳",041-350-3601,충청남도 당진시청,2022-12-01
왜목마을관광지,관광지,충청남도 당진시 석문면 왜목길 15-5,,37.04493276,126.5246154,133876,공중화장실+공연장+전망대,,,,,,2002-02-26,300000,150,"서해 최고의 일출, 일몰 감상지",041-350-3601,충청남도 당진시청,2022-12-01
난지섬관광지,관광지,충청남도 당진시 석문면 난지1길 67,,37.047036,126.4242087,155440,공중화장실+공연장+전망대,,,,,,2007-02-28,100000,150,바다가 맑고 한적한 섬 해수욕장,041-350-3601,충청남도 당진시청,2022-12-01
대천해수욕장,관광지,충청남도 보령시 머드로 123,,36.31554012,126.5108563,350000,화장실+샤워장+급수대+관광안내소+주차장+야영장,,,,,,2021-07-06,96200,3209,대천해수욕장은 젊음과 낭만+안락함과 자연미가 함께 어우러져 있는 곳이다. 젊은 연인들에게는 추억 만들기의 장소로서 또 가족 단위의 휴식처로서 해양스포츠의 메카로서 제반 요건을 충분히 갖추고 있다.,041-930-6810,충청남도 보령시청 해수욕장경영과,2022-11-30
무창포해수욕장,관광지,충청남도 보령시 웅천읍 열린바다1길 10,,36.24457737,126.5365426,150000,화장실+샤워장+급수대+관광안내소+주차장+야영장,,,,,,2021-07-06,16300,647,1928년 서해안에서 최초로 개장된 해수욕장으로 백사장 길이 1.5km 수심 1 ~ 2m+백사장 50m+수온 섭씨 22도+경사도 4도의 해수욕장으로 주변에는 송림이 울창하여 해수욕과 산림욕을 함께 즐길 수가 있다.,041-930-6802,충청남도 보령시청 해수욕장경영과,2022-11-30
구드래관광지,관광지,충청남도 부여군 부여읍 백강로 148,충청남도 부여군 부여읍 구교리 17-4,36.28718846,126.9068136,148515,광장+선착장+조각공원,,,,,,1969-01-21,45000,300,백마강과 함께 가족단위 공원 심터 및 생활체육을 즐길수 있는 웰빙관광지,041-830-2222,충청남도 부여군청,2022-07-19
서동요역사관광지,관광지,충청남도 부여군 충화면 충신로 618,충청남도 부여군 충화면 가화리 313,36.14594895,126.8248464,174508,관리사무소+주차장+화장실,수련시설,짚라이더+둘레길,부여군청소년수련원,,,2008-11-20,400,150,역사문화환경을 구축하여 부여 대표 관광명소,041-830-2222,충청남도 부여군청,2022-07-19
백제문화관광단지,관광단지,충청남도 부여군 규암면 백제문로 400,충청남도 부여군 규암면 합정리 578,36.30386704,126.9007732,3026277,주차장+화장실,휴양콘도미니엄,골프장,백제역사문화관+백제문화단지+롯데아울렛,,,2015-01-12,100000,3000,"고유의 교육적 가치 제고 및 관광, 지역경제 활성화를 위한 슈요자 중심의 체류형 종합 관광단지",041-830-2222,충청남도 부여군청,2022-07-19
간월도관광지,관광지,,충청남도 서산시 부석면 간월도리 산33 일원,36.60625263,126.4177537,55819,화장실+주차장,,,간월암,,,2000-05-04,100000,139,개발진행중,041-660-2373,충청남도 서산시청 관광과,2022-08-25
서산류방택천문기상과학관,관광지,충청남도 서산시 인지면 무학로 1353-4,,36.72735767,126.4131464,3770,사무실+화장실+주차장,,,,,,2011-07-11,280,25,천상열차분야지도를 제작한 충남 서산 출신 고려말 천문학자 류방택 선생의 뜻을 기려 설립된 과학관,041-669-8496,서산시 문화시설사업소+류방택천문기상과학관관리소,2022-08-25
서산버드랜드,관광지,충청남도 서산시 부석면 천수만로 655-73,,36.62951253,126.378389,244804,화장실(5동)+주차장+안내소(4개소),,,,,,2013-11-01,10000,200,철새도래시기에는 천수만에 도래하는 철새들을 탐조투어를 통해 볼 수 있고 특별프로그램 기간에는 각종 체험행사 등을 경험할 수 있으며 4D 영상 등의 볼거리가 있음,041-661-8054,서산시 버드랜드사업소,2022-08-25
용현자연휴양림,관광지,충청남도 서산시 운산면 마애삼존불길 339,,36.7518805,126.6076383,100000,관리사무소+화장실+주차장,,,,,,2000-06-12,800,98,용현계곡 한가운데 자리해 심산유곡의 경치를 자랑하는 산림휴양의 적지,041-664-1971,국립자연휴양림관리소,2022-08-25
해미읍성,관광지,충청남도 서산시 해미면 남문2로 143,,36.71355717,126.5503842,196381,사무실+화장실+주차장,,,,,,1963-01-21,300000,24000,500년 옛모습을 잘 간직한 조선시대 석축 읍성,041-660-3069,서산시 문화시설사업소+해미읍성관광안내소,2022-08-25
금강하구둑관광지,관광지,충청남도 서천군 마서면 장산로 855번길 56-2,충청남도 서천군 마서면 도삼리 71-5,36.01993599,126.736726,175384,종합안내소+주차장+화장실,,,,,,1993-09-22,5000,486,"금강을 경계로 군산과 인접하고 있으며, 철새도래지로 유려한 철새군무를 볼수 있고 먹거리가 풍부함",041-950-4018,충청남도 서천군청,2022-11-24
춘장대,관광지,충청남도 서천군 서면 춘장대길 20,충청남도 서천군 서면 도둔리 1319,36.16334922,126.5243355,298930,종합안내소+주차장+화장실+취사장,,,,,,1977-04-21,100000,300,국내 유일의 해송림 해수욕장으로 캠핑장과 조개잡이 체험등 다양한 즐길거리와 인근 동백정 마량항등 볼거리도 풍부,041-950-4091,충청남도 서천군청,2022-11-24
신정호국민관광지,관광지,충청남도 아산시 신정로 616,충청남도 아산시 방축동 5,36.771521411,126.98391517,271169,"관리사무소,화장실,주차장,변전실",,,,,,1971-05-20,2000,670,신정호는 담수면적이 92ha이며 농업용수 공급을 목적으로 1926년에 만들어진 인공호수이다.,041-540-8725,충남 아산시청,2020-09-14
아산온천관광지,관광지,충청남도 아산시 송악면 도송로632번길 138,충청남도 아산시 음봉면 신수리 292-6,36.698847591,126.96660687,844000,"관리사무소,화장실,주차장,일반광장",,,,,,1991-03-15,1500,350,"1987년에 발견되어, 1991년에 관광지로 지정된 아산온천은 2001년 테마 온천 시설인 아산스파비스가 개장된 이후로 인기가 높다. 약알칼리성 온천으로 20여종의 인체에 유익한 성분이 다량 함유되어 있다.",041-540-2689,충남 아산시청,2020-09-14
예당관광지,관광지,충청남도 예산군 응봉면 예당관광로 161,,36.63801252,126.799434,143000,관리사무소+화장실(6동)+주차장,,,,,,1986-05-02,20000,185,"예당호를 배경으로 예당호 출렁다리, 예당호 조각공원, 느린호수길, 캠핑장, 야영장이 조성되어 있어 가족단위 휴양객이 즐길수 있는 관광지",041-339-8282,충청남도 예산군청,2023-05-22
덕산온천관광단지,관광단지,충청남도 예산군 덕산면 온천단지2로 11,충청남도 예산군 덕산면 신평리 513,36.69075649,126.659328,724544.5,관광안내소+화장실(2동)+주차장,리솜스파캐슬,,,,,1981-09-22,100000,350,"1917년 처음으로 탕을 이용한 온천으로 개장됐으며, 49도씨 이상의 천연중탄산나트륨 온천수로 전국 최고의 온천수로 인정받고 있다.",041-339-7303,충청남도 예산군청,2023-05-22
천안종합휴양관광지,관광지,충청남도 천안시 동남구 성남면 종합휴양지로 200,,36.75731215,127.2240961,748020,주차장,콘도미니엄,워터파크,미술관+공연장,식당,,1996-07-02,5000,500,"중부권 최대의 온천관광지로 워터파크, 휴양콘도, 천안예술의 전당이 있음.",041-906-7000,소노벨 천안,2022-06-27
태조산관광지,관광지,충청남도 천안시 동남구 태조산길 261,,36.82207666,127.1889559,331000,주차장,,,조각공원,,,1985-07-24,10000,300,유량동 태조산 아래에 자리잡힌 넓은 공원으로 천안시민들의 문화ㆍ휴식 공간,041-550-2520,천안시시설관리공단,2022-06-27
만리포 관광지,관광지,충청남도 태안군 소원면 만리포2길 190-3,,36.790007808,126.14657086,321561.8,106173.5,68560.4,31730.8,39758.4,,,2010-05-06,30000,1760,관광진흥과,041-670-2770,충청남도 태안군,2022-07-13
남당,관광지,,충청남도 홍성군 서부면 남당리 859-2,36.539234315,126.47191537,166200,관광안내소+화장실+주차장,,홍성승마체험장,상황리오토캠핑장,,,2007-09-20,10000,408,"대하, 우럭, 새조개, 꽃게 등 사시사철 싱싱한 수산물을 맛볼수 있으며, 잔잔한 은빛 수면으로 석양이 아름다움을 느낄 수 있음",041-630-1300,충청남도 홍성군청,2022-07-28
